A|неопределенный артикль
STUCK|воткнул, приклеил 
STUD|запонка
STUDENT|студент
STUDENTS|студенты (от student)
STUDIED|учился (от study)
STUDIO|студия
STUDIOUS|прилежный s-
STUDY|учиться, изучать, заниматься, исследование, кабинет
STUDYING|занимается (от study)
STUFF|вещество, материал, заполнять, набивать
STUFFED|Наполненный
STUFFY|душный
STUMBLED|Наткнулся
STUMP|пень
STUN|оглушать
STUPID|глупый
STYLE|стиль, фасон, прическа
SUBDUED|подавленный
SUBJECT|предмет, содержание, подчинять
SUBJECTED|Подвергнутый *u-
SUBJECTS|предметы (от subject)
SUBMARINE|подводная лодка
SUBMIT|подчиняться
SUBQUERIES|Подвопросы
SUBQUERY|Подвопрос
SUBSCRIBE|подписываться
SUBSCRIBER|подписчик
SUBSCRIPTION|подписка
SUBSEQUENT|последующий (не successive)
SUBSEQUENTLY|впоследствии
SUBSIDED|Спадал
SUBSTANCE|вещество
SUBSTANTIAL|существенный, заметный, прочный, крепкий
SUBSTITUTE|заместитель
SUBTLE|тонкий, неуловимый
SUBURB|пригород, окраина
SUCCEED|достигать цели
SUCCEEDING|Следование -ing
SUCCESS|успех, удача
SUCCESSES|успехи (от success)
SUCCESSFUL|удачный, успешный
SUCCESSFULLY|успешно
SUCCESSION|последовательность
SUCCESSIVE|последующий
SUCCESSOR|преемник
SUCH|такой
SUCK|сосать
SUDDEN|внезапный
SUDDENLY|внезапно, вдруг
SUE|преследовать судебным порядком, возбуждать дело в суде
SUFFER|страдать
SUFFERING|страдание
SUFFICIENT|достаточный
SUFFICIENTLY|достаточно
SUFFIX|суффикс (грам.)
SUFFOCATE|душить, задыхаться
SUGAR|сахар
SUGGEST|предлагать, советовать
SUGGESTED|предлагал, предложенный (от suggest)
SUGGESTION|предложение
SUGGESTIONS|предложения (от suggestion)
SUICIDE|самоубийство, самоубийца
SUIT|костюм, подходить, устраивать
SUITABLE|подходящий, соответствующий (не eligible)
SUITCASE|чемодан
SUITCASES|чемоданы (от suitcase)
SUITE|номер люкс
SUITED|Удовлетворенный
SULKY|мрачный, хмурый **l**
SULPHUR|сера
SULTRY|знойный, душный
SUM|сумма, подводить итог
SUMMARY|конспект, суммарный
SUMMER|лето, летний
SUMMIT|вершина
SUMMON|вызывать
SUMMONED|Вызванный
SUN|солнце
SUNDAY|воскресенье
SUNFLOWER|подсолнух
SUNK|Погруженным
SUNLIGHT|солнечный свет
SUNNY|солнечный
SUNRISE|восход солнца
SUNSET|закат
SUNSHINE|солнечный свет
SUNSTROKE|солнечный удар
SUPERB|превосходный (не pretty)
SUPERFICIAL|поверхностный, внешний
SUPERFLUOUS|излишний, чрезмерный
SUPERINTEND|надзирать (за)
SUPERINTENDENT|управляющий, заведующий
SUPERIOR|высший, лучший
SUPERIORITY|старшинство
SUPERLATIVE|превосходная степень (грам.)
SUPERMARKET|супермаркет
SUPERSERVER|Суперприслуга
SUPERSTITION|суеверие, предрассудки
SUPPER|ужин
SUPPLEMENT|добавление
SUPPLIED|Снабженный
SUPPLIES|Запасы(поставки)
SUPPLY|снабжать
SUPPORT|поддерживать, опора, поддержка
SUPPORTED|Поддержанный
SUPPORTER|сторонник
SUPPORTING|опорный -ing
SUPPOSE|полагать, предполагать
SUPPOSED|предполагаемый (от suppose)
SUPPOSEDLY|предположительно
SUPPRESS|подавлять
SUPPRESSED|Подавленный
SUPREME|верховный, высший
SURE|уверенный, убедиться, безусловно
SURELY|несомненно
SURFACE|поверхность
SURFACES|Поверхности
SURGEON|хирург
SURGERY|хирургия, приемная хирурга
SURLY|угрюмый, неприветливый **r**
SURNAME|фамилия
SURPLUS|излишек
SURPRISE|удивление, удивлять
SURPRISING|удивительный
SURPRISINGLY|удивительно
SURROUND|окружать
SURROUNDING|Окружение
SURROUNDINGS|окрестности, среда, окружение
SURVEY|осмотр
SURVEYED|Рассмотренный
SURVEYING|Рассмотрение -ing
SURVIVE|пережить
SUSAN|Сьюзен
SUSPECT|подозревать
SUSPECTED|Подозреваемый
SUSPEND|приостанавливать
SUSPENDED|приостановленный 
SUSPENSE|неизвестность
SUSPENSION|приостановка, пауза, перерыв
SUSPICION|подозрение
SUSPICIONS|Подозрения
SUSPICIOUS|подозрительный
SUSTAIN|поддерживать (*u-)
SWALLOW|глотать, проглатывать
SWAM|плавал (от swim)
SWAMP|болото, топь s-
SWAN|лебедь
SWARM|рой, толпа; роиться, толпиться (не crowd)
SWAY|качание, взмах
SWEAR|клясться
SWEAT|пот, потеть
SWEATER|эксплуататор
SWEEP|(под)мести s-
SWEET|милый, сладкий, приятный s-
SWEETHEART|возлюбленный(ая), дорогой(ая) (как обращение)
SWEETNESS|Сладость
SWELL|отличный, превосходный
SWELLING|воспаление, отек -ing
SWEPT|подметал 
SWIFT|быстрый (не speed)
SWIFTLY|быстро 
SWIG|потягивать вино
SWIM|плавать
SWIMMER|пловец
SWIMMING|плавание
SWINDLE|обман, обманывать, надувать (не deceive)
SWING|качание, качели, качаться, колебаться
SWITCH|переключать, включать, выключатель, выключать
SWORD|меч, шпага, сабля
SYLLABLE|слог
SYMBOL|символ
SYMPATHETIC|сочувственный
SYMPATHIZE|сочувствовать
SYMPATHY|симпатия, сострадание
SYNTAX|Синтаксис
SYRINGE|шприц
SYSTEM|система
SYSTEMS|Системы
TAB|петелька
TABLE|стол, таблица, расписание
TABLES|Столы
TABLETS|таблетки (от tablet)
TACK|линия, курс (t-)
TACKLE|хватать *a-
TACTICS|тактика
TAG|бирка, ярлык
TAIL|конец, хвост
TAKE|брать, взять, принимать
TAKING|овладение
TALE|повесть, сказка, история
TALENT|талант
TALENTED|талантливый
TALES|сказки, истории (от tale)
TALK|говорить, беседовать
TALKING|беседа
TALL|невероятный, высокий
TALLY|бирка, этикетка, дубликат, копия (не label)
TAME|приручать, приручить, прирученный
TANGERINE|мандарин (плод)
TANGIBLE|осязаемый
TANGLE|сплетение, путаница, запутывать(ся)
TANK|танк, резервуар
TAP|постучать
TAPE|лента, обматывать лентой
TAR|смола, деготь; мазать дегтем, смолить
TARGET|задание
TASK|задача
TASTE|пробовать, иметь вкус
TASTED|пробовал (от taste)
TASTES|имеет вкус (от taste)
TAUGHT|обучал, обученный (от teach)
TAX|налог
TAXI|такси
TEA|чай, отвар
TEACH|обучать, преподавать
TEACHER|учитель
TEACHING|обучение
TEAM|команда
TEAMS|команды (от team)
TEAR|слеза, разрыв, (по)рвать
TEARING|Разрывание -ing
TEARS|слёзы 
TEASE|дразнить, задира
TECHNICAL|технический
TECHNICIAN|специалист t-
TECHNIQUE|техника
